0.01372	0.00006
0.01548	0.00101
0.01583	0.00267
0.01595	0.01051
0.01654	0.02976
0.0176	0.00125
0.01820	0.02406
0.01845	0.02014
0.01866	0.01099
0.01888	0.00766
0.01972	0.00701
0.02078	0.00838
0.02206	0.01016
0.02294	0.01088
0.02375	0.01075
0.02566	0.01034
0.02701	0.0107
0.02906	0.01158
0.0299	0.012
0.03215	0.01269
0.03499	0.01325
0.03708	0.01383
0.03966	0.01432
0.04008	0.01598
0.04093	0.02168
0.04094	0.02206
0.04136	0.02073
0.04199	0.02299
0.04221	0.01978
0.04242	0.02982
0.0439	0.02988
0.0439	0.02596
0.0441	0.02287
0.04581	0.02988
0.04581	0.02715
0.04581	0.02418
0.04581	0.02192
0.04737	0.02315
0.04814	0.0237
0.04984	0.02442
0.05209	0.02441
0.05702	0.02471
0.06024	0.02495
0.06238	0.02453
0.06774	0.02369
0.07224	0.02267
0.07738	0.02122
0.08253	0.0196
0.08725	0.01798
0.09218	0.01635
0.09775	0.01449
0.10225	0.01317
0.10804	0.01166
0.11254	0.01052
0.11811	0.00908
0.12262	0.00806
0.12755	0.00703
0.13248	0.00619
0.13783	0.00529
0.14341	0.00457
0.14791	0.00403
0.15263	0.00355
0.15798	0.00307
0.1627	0.00271
0.16827	0.00228
0.17749	0.00192
0.19957	0.0012
