0.01026	0.00004
0.01395	0.00004
0.01553	0.00281
0.01605	0.01047
0.01632	0.02183
0.01711	0.02183
0.01763	0.01047
0.01789	0.00591
0.01947	0.00363
0.02447	0.00477
0.03237	0.00582
0.03711	0.00656
0.04079	0.00729
0.04079	0.01251
0.04158	0.01132
0.04211	0.01251
0.04263	0.02187
0.04342	0.02187
0.04342	0.01251
0.04368	0.01251
0.04605	0.01084
0.05816	0.01405
0.07605	0.0169
0.09184	0.01821
0.10553	0.01825
0.12184	0.0165
0.13	0.01503
0.14	0.01328
0.15	0.01116
0.16026	0.00921
0.17026	0.00737
0.18	0.00599
0.19816	0.00391
0.21026	0.00305
0.22289	0.0024
0.23237	0.002
0.24132	0.00175
0.24974	0.00159
