Z,A,E0,ThetaDeg,nu,cross,error
6,12,0.0551,141.0,0.019057492,6690.0,200.7
6,12,0.065,180.0,0.021525759,9275.0,805.0
6,12,0.0551,141.0,0.019105983,11940.0,358.2
6,12,0.054,180.0,0.019463596,10910.0,1150.0
6,12,0.0551,141.0,0.019190492,6810.0,204.3
6,12,0.0551,141.0,0.019201983,11860.0,355.8
6,12,0.0551,141.0,0.019243983,11200.0,336.0
6,12,0.0551,141.0,0.019290983,10500.0,315.0
6,12,0.0551,141.0,0.019320983,9880.0,296.4
6,12,0.2,36.0,0.0225,601100.0,75400.0
6,12,0.065,180.0,0.021768259,10220.0,1000.0
6,12,0.0551,141.0,0.019335492,7210.0,216.3
6,12,0.0551,141.0,0.019363983,9180.0,275.4
6,12,0.0551,141.0,0.019408983,8430.0,252.9
6,12,0.0551,141.0,0.019463983,7720.0,231.6
6,12,0.0551,141.0,0.019535983,6690.0,200.7
6,12,0.065,180.0,0.022000259,11250.0,940.0
6,12,0.054,180.0,0.019925396,7145.5,1428.5
6,12,0.0551,141.0,0.019668983,6810.0,204.3
6,12,0.0551,141.0,0.019813983,7210.0,216.3
6,12,0.065,180.0,0.022252259,12165.0,945.0
6,12,0.0551,141.0,0.019889983,7150.0,214.5
6,12,0.0551,141.0,0.019914983,8270.0,248.1
6,12,0.0551,141.0,0.019988983,9360.0,280.8
6,12,0.0551,141.0,0.019992983,8560.0,256.8
6,12,0.0551,141.0,0.020024983,10250.0,307.5
6,12,0.0551,141.0,0.020065983,11390.0,341.7
6,12,0.065,180.0,0.022515759,15055.0,975.0
6,12,0.0551,141.0,0.020102983,12750.0,382.5
6,12,0.0551,141.0,0.020130983,13920.0,417.6
6,12,0.054,180.0,0.020454046,7457.0,1185.0
6,12,0.0551,141.0,0.020188983,14720.0,441.6
6,12,0.0551,141.0,0.020221983,15830.0,474.9
6,12,0.0551,141.0,0.020280983,16840.0,505.2
6,12,0.065,180.0,0.022758259,15655.0,945.0
6,12,0.0551,141.0,0.020380983,16790.0,503.7
6,12,0.0551,141.0,0.020444983,16180.0,485.4
6,12,0.0551,141.0,0.020502983,15110.0,453.3
6,12,0.0551,141.0,0.020531983,14670.0,440.1
6,12,0.0551,141.0,0.020574983,13790.0,413.7
6,12,0.0551,141.0,0.020635983,13040.0,391.2
6,12,0.065,180.0,0.023041759,15255.0,945.0
6,12,0.0551,141.0,0.020707983,12250.0,367.5
6,12,0.054,180.0,0.020979196,6514.5,1289.5
6,12,0.0551,141.0,0.020793983,11530.0,345.9
6,12,0.0551,141.0,0.020851983,10760.0,322.8
6,12,0.065,180.0,0.023263259,16290.0,1000.0
6,12,0.0551,141.0,0.020915983,9860.0,295.8
6,12,0.0551,141.0,0.020985983,9140.0,274.2
6,12,0.0551,141.0,0.021106983,8790.0,263.7
6,12,0.0551,141.0,0.021119983,8430.0,252.9
6,12,0.065,180.0,0.023525759,17150.0,830.0
6,12,0.054,180.0,0.021493796,11774.0,1324.0
6,12,0.0551,141.0,0.021273983,8810.0,264.3
6,12,0.065,180.0,0.023778759,15715.0,775.0
6,12,0.0551,141.0,0.021423983,9110.0,273.3
6,12,0.0551,141.0,0.021550983,9480.0,284.4
6,12,0.065,180.0,0.024010759,13740.0,690.0
6,12,0.054,180.0,0.021906146,10205.0,1359.0
6,12,0.0551,141.0,0.021674983,10420.0,312.6
6,12,0.0551,141.0,0.021762983,11160.0,334.8
6,12,0.0551,141.0,0.021832983,11790.0,353.7
6,12,0.16,36.0,0.0225,790800.0,146500.0
6,12,0.065,180.0,0.024273259,14655.0,745.0
6,12,0.0551,141.0,0.021945983,12240.0,367.2
6,12,0.0551,141.0,0.022013983,13150.0,394.5
6,12,0.0551,141.0,0.022132983,13340.0,400.2
6,12,0.065,180.0,0.024526259,15715.0,945.0
6,12,0.0551,141.0,0.022211983,14100.0,423.0
6,12,0.0809,135.0,0.027,15000.0,1320.0
6,12,0.0551,141.0,0.022298983,14900.0,447.0
6,12,0.054,180.0,0.022561796,16265.0,941.0
6,12,0.0551,141.0,0.022365983,15690.0,470.7
6,12,0.065,180.0,0.024757759,13680.0,1030.0
6,12,0.0551,141.0,0.022436983,15950.0,478.5
6,12,0.0551,141.0,0.022452983,17210.0,516.3
6,12,0.0551,141.0,0.022522983,17800.0,534.0
6,12,0.0551,141.0,0.022577983,18970.0,569.1
6,12,0.065,180.0,0.024999759,13110.0,920.0
6,12,0.0551,141.0,0.022671983,19180.0,575.4
6,12,0.0551,141.0,0.022729983,20680.0,620.4
6,12,0.054,180.0,0.022980746,17065.0,1185.0
6,12,0.0551,141.0,0.022842983,21430.0,642.9
6,12,0.065,180.0,0.025263259,10735.0,885.0
6,12,0.0551,141.0,0.022939983,22070.0,662.1
6,12,0.0551,141.0,0.023013983,23110.0,693.3
6,12,0.0551,141.0,0.023139983,23690.0,710.7
6,12,0.065,180.0,0.025494259,12455.0,945.0
6,12,0.054,180.0,0.023423996,16645.0,1115.0
6,12,0.0809,135.0,0.0279,14020.0,1415.0
6,12,0.0551,141.0,0.023287983,23740.0,712.2
6,12,0.0551,141.0,0.023393983,24450.0,733.5
6,12,0.065,180.0,0.025747259,12595.0,855.0
6,12,0.0551,141.0,0.023516983,24810.0,744.3
6,12,0.0551,141.0,0.023658983,24990.0,749.7
6,12,0.065,180.0,0.025989759,11935.0,945.0
6,12,0.054,180.0,0.023925646,17236.0,1289.0
6,12,0.0551,141.0,0.023701983,25830.0,774.9
6,12,0.0551,141.0,0.023805983,25070.0,752.1
6,12,0.0809,135.0,0.0285,11790.0,1010.0
6,12,0.0551,141.0,0.023852983,25620.0,768.6
6,12,0.065,180.0,0.026252259,11655.0,945.0
6,12,0.0551,141.0,0.023975983,25570.0,767.1
6,12,0.0551,141.0,0.023993983,25090.0,752.7
6,12,0.2,36.0,0.0275,650100.0,70570.0
6,12,0.0551,141.0,0.024150983,25560.0,766.8
6,12,0.065,180.0,0.026505259,9045.0,1485.0
6,12,0.054,180.0,0.024471046,13575.5,1324.5
6,12,0.0551,141.0,0.024271983,25680.0,770.4
6,12,0.0551,141.0,0.024373983,24900.0,747.0
6,12,0.0809,135.0,0.0291,12800.0,945.0
6,12,0.0551,141.0,0.024475983,25570.0,767.1
6,12,0.0551,141.0,0.024597983,25500.0,765.0
6,12,0.0551,141.0,0.024641983,24980.0,749.4
6,12,0.0551,141.0,0.024783983,25150.0,754.5
6,12,0.054,180.0,0.025033896,16222.0,1324.0
6,12,0.0551,141.0,0.024852983,25220.0,756.6
6,12,0.0551,141.0,0.024899983,24410.0,732.3
6,12,0.0551,141.0,0.024977983,23900.0,717.0
6,12,0.0809,135.0,0.0297,13170.0,1070.0
6,12,0.0551,141.0,0.025071983,23550.0,706.5
6,12,0.0551,141.0,0.025118983,22880.0,686.4
6,12,0.0551,141.0,0.025177983,22360.0,670.8
6,12,0.054,180.0,0.025415446,13572.0,1185.0
6,12,0.0551,141.0,0.025276983,22040.0,661.2
6,12,0.0551,141.0,0.025309983,20920.0,627.6
6,12,0.0551,141.0,0.025435983,20130.0,603.9
6,12,0.0551,141.0,0.025560983,19340.0,580.2
6,12,0.0809,135.0,0.0302,12130.0,1040.0
6,12,0.0551,141.0,0.025607983,19870.0,596.1
6,12,0.0551,141.0,0.025694983,19730.0,591.9
6,12,0.054,180.0,0.025927446,7890.5,1219.5
6,12,0.0551,141.0,0.025771983,19970.0,599.1
6,12,0.0551,141.0,0.025906983,19870.0,596.1
6,12,0.0809,135.0,0.0307,13040.0,940.0
6,12,0.0551,141.0,0.026129492,19830.0,594.9
6,12,0.0551,141.0,0.026183492,19580.0,587.4
6,12,0.054,180.0,0.026408296,10990.0,1115.0
6,12,0.0551,141.0,0.026202492,19340.0,580.2
6,12,0.0551,141.0,0.026292492,19650.0,589.5
6,12,0.0551,141.0,0.026320492,20020.0,600.6
6,12,0.0551,141.0,0.026347492,19520.0,585.6
6,12,0.0551,141.0,0.026401492,19520.0,585.6
6,12,0.0551,141.0,0.026474492,19180.0,575.4
6,12,0.16,36.0,0.0275,542100.0,123000.0
6,12,0.0551,141.0,0.026583492,19460.0,583.8
6,12,0.0551,141.0,0.026637492,19280.0,578.4
6,12,0.0551,141.0,0.026674492,20020.0,600.6
6,12,0.054,180.0,0.026902846,9037.0,1324.0
6,12,0.0551,141.0,0.026710492,19400.0,582.0
6,12,0.0551,141.0,0.026746492,18780.0,563.4
6,12,0.0551,141.0,0.026819492,19090.0,572.7
6,12,0.0551,141.0,0.026909492,18450.0,553.5
6,12,0.0551,141.0,0.026946492,18690.0,560.7
6,12,0.0551,141.0,0.027000492,18350.0,550.5
6,12,0.0809,135.0,0.0316,9985.0,975.0
6,12,0.0551,141.0,0.027036492,18170.0,545.1
6,12,0.0551,141.0,0.027091492,17920.0,537.6
6,12,0.0551,141.0,0.027109492,18360.0,550.8
6,12,0.0551,141.0,0.027127492,18050.0,541.5
6,12,0.0551,141.0,0.027190492,17770.0,533.1
6,12,0.0551,141.0,0.027227492,18330.0,549.9
6,12,0.054,180.0,0.027443396,13634.5,1254.5
6,12,0.0551,141.0,0.027281492,18110.0,543.3
6,12,0.0551,141.0,0.027345492,17580.0,527.4
6,12,0.0551,141.0,0.027435492,17620.0,528.6
6,12,0.0551,141.0,0.027508492,17550.0,526.5
6,12,0.0551,141.0,0.027572492,17990.0,539.7
6,12,0.0551,141.0,0.027599492,17490.0,524.7
6,12,0.0551,141.0,0.027662492,17310.0,519.3
6,12,0.054,180.0,0.027922546,6107.0,1045.0
6,12,0.0551,141.0,0.027744492,17190.0,515.7
6,12,0.0551,141.0,0.027817492,17310.0,519.3
6,12,0.0551,141.0,0.027844492,16690.0,500.7
6,12,0.0551,141.0,0.027889492,16970.0,509.1
6,12,0.0551,141.0,0.027944492,17190.0,515.7
6,12,0.0551,141.0,0.027953492,16690.0,500.7
6,12,0.0551,141.0,0.028016492,16570.0,497.1
6,12,0.0551,141.0,0.028089492,16630.0,498.9
6,12,0.0551,141.0,0.028134492,16320.0,489.6
6,12,0.0809,135.0,0.0327,10200.0,945.0
6,12,0.0551,141.0,0.028198492,16260.0,487.8
6,12,0.054,180.0,0.028426646,7603.5,1289.5
6,12,0.0551,141.0,0.028261492,16080.0,482.4
6,12,0.0551,141.0,0.028288492,15580.0,467.4
6,12,0.0551,141.0,0.028306492,15890.0,476.7
6,12,0.0551,141.0,0.028343492,15950.0,478.5
6,12,0.0551,141.0,0.028379492,16260.0,487.8
6,12,0.0551,141.0,0.028406492,16510.0,495.3
6,12,0.0551,141.0,0.028452492,15890.0,476.7
6,12,0.0551,141.0,0.028506492,16640.0,499.2
6,12,0.0551,141.0,0.028524492,15520.0,465.6
6,12,0.0551,141.0,0.028570492,16140.0,484.2
6,12,0.0551,141.0,0.028624492,15590.0,467.7
6,12,0.0551,141.0,0.028669492,15400.0,462.0
6,12,0.2,36.0,0.0325,455800.0,58990.0
6,12,0.0551,141.0,0.028742492,14840.0,445.2
6,12,0.0551,141.0,0.028760492,15770.0,473.1
6,12,0.0551,141.0,0.028832492,14840.0,445.2
6,12,0.0551,141.0,0.028851492,15090.0,452.7
6,12,0.054,180.0,0.029038846,7984.5,1184.5
6,12,0.0551,141.0,0.028887492,15280.0,458.4
6,12,0.0551,141.0,0.028942492,15470.0,464.1
6,12,0.0551,141.0,0.028978492,15090.0,452.7
6,12,0.0551,141.0,0.029032492,14910.0,447.3
6,12,0.0551,141.0,0.029041492,15370.0,461.1
6,12,0.0809,135.0,0.0336,9385.0,1005.0
6,12,0.0551,141.0,0.029123492,14790.0,443.7
6,12,0.054,180.0,0.029380196,10875.5,1428.5
6,12,0.0551,141.0,0.029214492,14850.0,445.5
6,12,0.0551,141.0,0.029286492,14730.0,441.9
6,12,0.0551,141.0,0.029323492,15160.0,454.8
6,12,0.0551,141.0,0.029350492,15410.0,462.3
6,12,0.0551,141.0,0.029432492,14730.0,441.9
6,12,0.0551,141.0,0.029522492,14910.0,447.3
6,12,0.0551,141.0,0.029595492,14510.0,435.3
6,12,0.0551,141.0,0.029622492,14980.0,449.4
6,12,0.0551,141.0,0.029695492,14920.0,447.6
6,12,0.0551,141.0,0.029777492,15010.0,450.3
6,12,0.0551,141.0,0.029831492,15130.0,453.9
6,12,0.0551,141.0,0.029904492,15230.0,456.9
6,12,0.0551,141.0,0.029958492,14920.0,447.6
6,12,0.0551,141.0,0.029995492,15290.0,458.7
6,12,0.0551,141.0,0.030040492,15040.0,451.2
6,12,0.0551,141.0,0.030049492,14730.0,441.9
6,12,0.0551,141.0,0.030104492,15350.0,460.5
6,12,0.0551,141.0,0.030122492,14920.0,447.6
6,12,0.054,180.0,0.030380846,11115.5,1463.5
6,12,0.0551,141.0,0.030231492,14920.0,447.6
6,12,0.0551,141.0,0.030276492,14670.0,440.1
6,12,0.0809,135.0,0.0348,9095.0,975.0
6,12,0.0551,141.0,0.030358492,14860.0,445.8
6,12,0.0551,141.0,0.030394492,14460.0,433.8
6,12,0.0551,141.0,0.030467492,14620.0,438.6
6,12,0.0551,141.0,0.030503492,14740.0,442.2
6,12,0.054,180.0,0.031432546,9718.5,1463.5
6,12,0.0809,135.0,0.0359,10480.0,1035.0
6,12,0.054,180.0,0.032461046,9993.5,1254.5
6,12,0.0888,135.0,0.03939,12680.0,634.2
6,12,0.0809,135.0,0.0377,8020.0,910.0
6,12,0.2,36.0,0.0375,375600.0,53380.0
6,12,0.0888,135.0,0.03959,12220.0,611.1
