e,ep,th,w2,q2,eps,cs,cserr,sigm,rat,erat,set,eb,theta,nu
0.25,0.1822,40.0,0.9863,0.0213,0.7564,7.346,0.4284,5.307,1.384,0.08071,16.0,0.25,40.0,0.0678
0.25,0.1817,40.0,0.9873,0.0213,0.7558,7.337,0.4278,5.169,1.419,0.08276,16.0,0.25,40.0,0.0683
0.25,0.1813,40.0,0.9881,0.0212,0.7553,7.098,0.4139,5.063,1.402,0.08176,16.0,0.25,40.0,0.06870000000000001
0.25,0.1808,40.0,0.9891,0.0211,0.7548,7.13,0.4157,4.934,1.445,0.08427,16.0,0.25,40.0,0.06920000000000001
0.25,0.1803,40.0,0.9901,0.0211,0.7542,6.839,0.3988,4.809,1.422,0.08293,16.0,0.25,40.0,0.06970000000000001
0.25,0.1798,40.0,0.9911,0.021,0.7536,6.883,0.4014,4.689,1.468,0.0856,16.0,0.25,40.0,0.07020000000000001
0.25,0.1793,40.0,0.9921,0.021,0.753,6.584,0.384,4.572,1.44,0.08397,16.0,0.25,40.0,0.07070000000000001
0.25,0.1789,40.0,0.9928,0.0209,0.7525,6.667,0.3887,4.482,1.487,0.08674,16.0,0.25,40.0,0.0711
0.25,0.1784,40.0,0.9938,0.0209,0.7519,6.573,0.3833,4.372,1.504,0.08767,16.0,0.25,40.0,0.0716
0.25,0.1779,40.0,0.9948,0.0208,0.7512,6.524,0.3805,4.265,1.53,0.0892,16.0,0.25,40.0,0.0721
0.25,0.1774,40.0,0.9958,0.0208,0.7506,6.396,0.373,4.161,1.537,0.08963,16.0,0.25,40.0,0.0726
0.25,0.1769,40.0,0.9968,0.0207,0.75,6.381,0.3721,4.061,1.571,0.09163,16.0,0.25,40.0,0.0731
0.25,0.1765,40.0,0.9976,0.0206,0.7495,6.247,0.3643,3.982,1.569,0.09149,16.0,0.25,40.0,0.07350000000000001
0.25,0.176,40.0,0.9986,0.0206,0.7488,6.344,0.37,3.886,1.633,0.0952,16.0,0.25,40.0,0.07400000000000001
0.25,0.1755,40.0,0.9996,0.0205,0.7482,6.168,0.3597,3.793,1.626,0.09483,16.0,0.25,40.0,0.07450000000000001
0.25,0.175,40.0,1.0006,0.0205,0.7475,6.168,0.3597,3.702,1.666,0.09717,16.0,0.25,40.0,0.07500000000000001
0.25,0.1745,40.0,1.0016,0.0204,0.7469,5.969,0.3481,3.613,1.652,0.09635,16.0,0.25,40.0,0.07550000000000001
0.25,0.1741,40.0,1.0024,0.0204,0.7463,6.101,0.3558,3.543,1.722,0.1004,16.0,0.25,40.0,0.0759
