qvcenter,nu,RL,RLerr,RT,RTerr,Chi2,num_points,xerr
1.619,0.750414003918226,1.4444715915383355e-05,8.632423070996008e-06,8.000498230681028e-05,1.2077823778148663e-05,14.132209419770422,5.0,0.004441320376480595
1.619,0.7592734655075642,-2.424633354645292e-06,9.96795230336803e-06,0.0001240445039142186,1.3828728747906035e-05,12.002193762742063,5.0,0.0044181412128576625
1.619,0.7855786739395139,5.06108349532454e-05,1.1987150620458531e-05,0.00012136294504472479,1.6294733150077157e-05,12.173261838014305,5.0,0.004350722346581182
1.619,0.7942583223512363,5.1717172668412805e-05,1.3402706285435219e-05,0.0001576762535313646,1.810504679043192e-05,39.48490152281096,6.0,0.0043289260651412365
1.619,0.8200402054474951,4.6085579140050956e-05,1.671776508290291e-05,0.00027850441463897225,2.2149172126089272e-05,20.48894473925441,6.0,0.004265451670819487
1.619,0.8285505631499213,5.3930080371557744e-05,1.8670442427596196e-05,0.00033948432834336403,2.4578868194466183e-05,2.6644809492407004,5.0,0.0042449060316066545
1.619,0.8538391639714751,7.024742875512811e-05,2.2071469113792685e-05,0.00046990310311596057,2.8369665506711868e-05,7.82691262588442,6.0,0.004185005911337192
1.619,0.862189765608124,0.00011054440483798421,2.3733891304763104e-05,0.0005151963364366674,3.006874938391991e-05,5.970011069077418,7.0,0.0041655957253117215
1.619,0.8870123582624118,9.170566184570686e-05,2.771254657597689e-05,0.0007387851746485983,3.4092017229854274e-05,25.11342133862447,6.0,0.00410894656336902
1.619,0.8952118757920452,0.00013614262687949532,2.7516936239219312e-05,0.0007873641406703605,3.4393432153878743e-05,23.35584043027372,9.0,0.004090570966264417
1.619,0.9276496582248043,0.00017714963022818597,4.7419599223131985e-05,0.0010430067425421098,5.4814763145876876e-05,4.40716614909822,5.0,0.004019459202631248
1.619,0.9356713707051985,-0.0001893693226784728,5.5766294053488123e-05,0.0014946985779025715,6.180393400573731e-05,10.945668569282429,4.0,0.004002253277762713
1.619,0.9516126509280695,0.0002426621528410359,5.1365461185394324e-05,0.0011926600588282885,5.702042134353885e-05,11.708943420311302,5.0,0.0039684940706952165
1.619,0.9595330767014156,0.00030884174574814007,5.6834333378310673e-05,0.0012195475970272305,6.0310803817341095e-05,2.7898491540790746,4.0,0.003951931702650957
1.619,0.967420583391234,3.856002726630447e-05,6.546592258093099e-05,0.0015365699953412502,6.78972350839703e-05,12.55835742290528,4.0,0.003935574987167456
1.619,0.9830984595349248,0.0002242755872433599,5.811244159756392e-05,0.0015027403667515458,6.167407399844148e-05,1.1291238389247484,4.0,0.0039034617500851576
1.619,0.9908896184279867,0.00024449112153639705,5.762111618364004e-05,0.0016082849476429368,6.152281668489457e-05,0.18436418827333279,4.0,0.003887697142976765
1.619,0.9986494375798196,-8.357965698829929e-05,0.00010810171591551453,0.0019635692108116777,9.586457153011402e-05,0.05167306973506572,3.0,0.0038721220088560604
1.619,1.0140765499559297,0.00020855280507464424,6.0530387526389327e-05,0.0018571929103787942,6.36788029920631e-05,4.960587915469803,5.0,0.0038415252023742408
1.619,1.0217445714658808,0.00025779265148854065,6.347212669132706e-05,0.001957327394460824,6.574921721772693e-05,24.55383873705732,6.0,0.003826496307576921
1.619,1.0293827102071893,8.789785538318358e-06,0.00016720199405096685,0.0022251156094510735,0.00013367140509695362,0.31649721462905744,3.0,0.0038116424337315546
1.619,1.0445707194162757,0.00028045202158988043,6.821603003471756e-05,0.0021924125601151725,6.848483238991178e-05,2.408269708553696,5.0,0.0037824463554838594
1.619,1.052121263448551,0.00048136911422177304,7.068005315804014e-05,0.0021509732746891066,6.996300741400715e-05,10.667030960743483,5.0,0.0037680976767915375
1.619,1.0596432721897837,-0.00039355066221123116,0.00019912996435386137,0.003029800399735828,0.000150732554099988,2.595323589162084,3.0,0.0037539110644411178
1.619,1.0746029622399837,0.0002792270876610429,8.450352418223049e-05,0.0026807163707819022,8.123252342545421e-05,0.24436008500484643,4.0,0.003726012005058621
1.619,1.082041267980164,0.00048768099507564845,0.00011173209921533071,0.0027065689584273036,0.00010780636043067531,18.02538743953531,4.0,0.003712293735121719
1.619,1.1041936554733482,0.0006050308365793178,0.00011164587101457784,0.002951635999397622,0.00010096894712584096,0.0017306989091615984,3.0,0.0036720305714179613
1.619,1.111524583908086,0.0006267588965711523,0.00011613437912646168,0.003115735443089167,0.00010347553711165869,2.2573482170415766,3.0,0.0036588978633202984
1.619,1.1333617206359368,0.001006506341249817,0.00012188911608139212,0.0032706865138817636,0.00010354502219362667,11.359004131693682,5.0,0.003620329358883234
1.619,1.1405897917033792,0.0012436447153192918,0.0001273185011473923,0.00331990455708611,0.0001063692290787465,17.024736764515023,5.0,0.0036077417085591534
1.619,1.162124765247699,0.0011790641525987718,0.00012494528927380207,0.0039396269254796164,0.00010328216526088239,24.118916909838443,9.0,0.003570752228026386
1.619,1.1692541904238507,0.0014309705715192464,0.00013053414740724873,0.0040605900700254865,0.0001061252259971636,22.49272258330297,9.0,0.0035586729481253965
1.619,1.3204152247740701,0.006091293183367804,0.0004822265201716965,0.008453444429501392,0.0002768613756834269,40.904355148713165,10.0,0.003320511400262127
1.619,1.3270465273935423,0.00565260777286823,0.0001873789027481384,0.009515998325257742,9.02181969121754e-05,15.462508471233525,10.0,0.003310791219210074
1.619,1.3336584745164957,0.00663910170710956,0.00021769739636212076,0.009727092203537829,9.781337647142094e-05,16.27321043915884,8.0,0.003301155903743247
1.619,1.346824973855596,0.007205067629289892,0.0006149854939415514,0.0099018995626406,0.00031006037100149555,24.78076664975802,8.0,0.0032821349831864133
1.619,1.3533798558348662,0.00708355772359899,0.00023870126034180583,0.010747734222187458,0.00010046984017550326,18.786988087830224,9.0,0.0032727469960838196
1.619,1.3599160419402354,0.008389364172572107,0.00025135002237321684,0.011016439697192487,0.00010252331791879534,4.728505277803462,9.0,0.0032634391092858372
1.619,1.3729329605583078,0.006445312888519279,0.0007624330941396628,0.012620929529695393,0.00035162166173374797,6.792263605448828,7.0,0.003245059128433647
1.619,1.3794140045222116,0.009060870860412358,0.00029640447147984996,0.012220645631063863,0.00011153720834257541,22.254943868438577,9.0,0.0032359848354701626
1.619,1.3858769756015699,0.010016862301304094,0.0005055584865595014,0.012875091313804052,0.00020791081910178155,83.4426618592693,9.0,0.0032269862438885077
1.619,1.398749298457451,0.01296553741934747,0.0008969843523627943,0.012192164256999332,0.00036478791115965824,44.5041374616998,8.0,0.003209211998084216
1.619,1.4051589447658859,0.011295423015731007,0.0005776649330287701,0.013900770639563279,0.0002129937726305701,18.615431253163788,8.0,0.003200434310350664
1.619,1.411551107332235,0.011254224071232818,0.0006261489156066686,0.014623740757377811,0.00021970092220045164,43.12388241489107,7.0,0.0031917282559990046
1.619,1.4242835485097112,0.01521821482994954,0.001370116162901894,0.01413884360042536,0.00046026164855816356,30.22785840725959,5.0,0.003174527189510501
1.619,1.430624105992824,0.014652350178206493,0.0008454531466323149,0.015271628050850378,0.00024764835129931895,13.102318873230466,6.0,0.0031660302936022955
1.619,1.4369477375490938,0.0157590890916312,0.0007841070688168182,0.015942265320613744,0.0002069065684839352,23.568440037620185,6.0,0.003157601262667953
1.619,1.4495447604257612,0.014210920615714077,0.0016829516437811712,0.017407094523269568,0.0004867511004653207,8.854956397389644,5.0,0.0031409432178202135
1.619,1.455818416099574,0.017702470293891007,0.0009732024706138382,0.01737777506574644,0.0002341947658643997,25.22867276352078,6.0,0.003132712455992559
1.619,1.462075674618106,0.019667411785216943,0.0010539242087633368,0.018160583665258506,0.00024083447124370624,28.39439413612205,6.0,0.003124546062539535
1.619,1.4745415101435848,0.025926592889383256,0.0020126272659621697,0.01719051344529733,0.00047869011648634876,7.073358164929074,5.0,0.0031084030572883226
1.619,1.4807503380219635,0.031051917903368035,0.002186828594917803,0.017456186409074363,0.0004922729077694274,9.461504550808757,4.0,0.0031004248210904084
1.619,1.4869432705468344,0.036088752948049814,0.0023828547806765046,0.018309353027247156,0.0005075866861349375,6.011714233675308,4.0,0.003092507703780445
1.619,1.4992819338425367,0.035519240362353384,0.0018208360661638061,0.019032319494986374,0.0003865613390207744,3.424880919230119,7.0,0.00307685373399047
1.619,1.5054279029461528,0.04438372650017255,0.0019470424456550952,0.018867247874622708,0.00039200523683777466,15.55544637395269,7.0,0.003069115369625619
1.619,1.5115584534155453,0.03385642424303583,0.00300637973823257,0.023188292900473226,0.0005261562013810997,0.4066899103060725,4.0,0.0030614350997673068
1.619,1.523773758880612,0.049296522504976466,0.0032759766127983675,0.020934969778510254,0.0004969213446936021,15.278074827452052,4.0,0.003046245963017391
1.619,1.5298587405305613,0.0689455444644015,0.005843652180829631,0.02046509285544292,0.0007452217936402826,2.688382381846404,3.0,0.003038735686931915
1.619,1.5359287569039095,0.07126052894577167,0.005237387115998629,0.022752067632909465,0.0006431356646795488,2.9962481792354057,3.0,0.0030312806864163377
