nu,RT,error,Q2,Ex,qv
0.0103875,0.0,4.258504519986948e-05,0,0.0103875,0.0103875
0.0114375,2.956087935903672e-05,1.7328791348400834e-05,0,0.0114375,0.0114375
0.0133499999999999,0.0001415847476728,1.5467241342410618e-05,0,0.0133499999999999,0.0133499999999999
0.0153,0.000209990861717,3.272584857927499e-05,0,0.0153,0.0153
0.0172875,0.0005654399656435,2.9273458711792237e-05,0,0.0172875,0.0172875
0.0192124999999999,0.0013235843349293,5.650489398792916e-05,0,0.0192124999999999,0.0192124999999999
0.0221875,0.0060706471395225,6.723192271783921e-05,0,0.0221875,0.0221875
0.0242625,0.0067335238186154,8.21688841064188e-05,0,0.0242625,0.0242625
0.0261125,0.005138492963034,8.84342086029412e-05,0,0.0261125,0.0261125
0.0282375,0.0040643117675667,8.80810599782267e-05,0,0.0282375,0.0282375
0.03015,0.0040332603113626,7.792441640873911e-05,0,0.03015,0.03015
0.0319374999999999,0.0032704626240786,8.823702467052942e-05,0,0.0319374999999999,0.0319374999999999
0.0341125,0.0035327094559518,7.904513412628933e-05,0,0.0341125,0.0341125
0.036275,0.003329913022684,8.405605688328753e-05,0,0.036275,0.036275
0.0380625,0.0030326554594893,8.819803349745366e-05,0,0.0380625,0.0380625
0.0399375,0.0026018754091803,0.0001032207754668,0,0.0399375,0.0399375
0.0418625,0.0029362169200707,0.0001604286246036,0,0.0418625,0.0418625
0.044175,0.0025354244239575,0.0001732277556741,0,0.044175,0.044175
0.0461749999999999,0.002230459976896,0.0002716058274449,0,0.0461749999999999,0.0461749999999999
0.0482625,0.0024947443760708,0.0001978590367228,0,0.0482625,0.0482625
0.0504125,0.002219491202893,0.0001797158868739,0,0.0504125,0.0504125
0.052225,0.0022248185111687,0.0002141038734597,0,0.052225,0.052225
0.0543624999999999,0.001865298728773,0.0002664712469675,0,0.0543624999999999,0.0543624999999999
0.0561999999999999,0.0016578779423785,0.000285495597328,0,0.0561999999999999,0.0561999999999999
0.05805,0.0020125193720056,0.0002638521541704,0,0.05805,0.05805
