nu,RT,q2,nuel,ex
0.00989,0.0908632,0.0899021879,0.00402141559240675,0.0058685844075932496
0.01053,0.1817264,0.0898891191,0.004020831011793956,0.006509168988206043
0.01111,0.30287733,0.0898765679,0.0040202695839515155,0.0070897304160484845
0.01157,0.454316,0.0898661351,0.0040198029142789245,0.007550197085721076
0.01192,0.62089854,0.08985791359999999,0.004019435158286937,0.007900564841713063
0.01209,0.80262494,0.0898538319,0.0040192525797267615,0.00807074742027324
0.01226,0.98435134,0.0898496924,0.004019067415714253,0.008240932584285748
0.0125,1.16607774,0.08984375,0.004018801606165292,0.008481198393834708
0.01273,1.34780414,0.0898379471,0.004018542036592112,0.008711457963407887
0.01284,1.55981827,0.0898351344,0.004018416221682587,0.008821583778317415
0.01302,1.77183241,0.0898304796,0.004018208007781048,0.009001791992218951
0.01313,1.98384654,0.0898276031,0.0040180793390331366,0.009111920660966864
0.01325,2.19586068,0.08982443749999999,0.004017937738550471,0.009232062261449528
0.01336,2.40787481,0.0898215104,0.0040178068064134955,0.009342193193586505
0.01348,2.61988894,0.08981828959999999,0.004017662736779123,0.009462337263220877
0.0136,2.84704695,0.08981504,0.004017517378891687,0.009582482621108312
0.01371,3.05906108,0.0898120359,0.004017383002467004,0.009692616997532995
0.01383,3.28621908,0.0898087311,0.004017235175427861,0.00981276482457214
0.01389,3.49823322,0.0898070679,0.004017160778813389,0.00987283922118661
0.01395,3.72539122,0.0898053975,0.004017086060135652,0.009932913939864348
0.01406,3.96769308,0.0898023164,0.004016948239423263,0.010043051760576738
0.01412,4.22513882,0.0898006256,0.004016872608232938,0.010103127391767063
0.01424,4.49772842,0.0897972224,0.004016720379662491,0.010223279620337509
0.01435,4.77031802,0.0897940775,0.004016579705111716,0.010333420294888283
0.01441,5.04290762,0.0897923519,0.0040165025172822725,0.010393497482717727
0.01453,5.30035336,0.0897888791,0.004016347175433586,0.010513652824566413
0.01464,5.57294296,0.0897856704,0.004016203647044425,0.010623796352955576
0.01476,5.81524483,0.0897821424,0.004016045836044032,0.010743954163955969
0.01482,6.05754669,0.0897803676,0.004015966447448936,0.010804033552551065
0.01493,6.29984856,0.0897770951,0.004015820065221389,0.010914179934778612
0.01499,6.5572943,0.0897752999,0.004015739764113706,0.010974260235886293
0.01505,6.81474003,0.0897734975,0.004015659140942757,0.011034340859057242
0.01511,7.1024735,0.0897716879,0.004015578195708542,0.011094421804291458
0.01523,7.35991923,0.0897680471,0.0040154153390503135,0.011214584660949687
0.01528,7.6930843,0.0897665216,0.004015347101895807,0.011264652898104193
0.0154,7.99596164,0.08976284,0.004015182420212404,0.011384817579787597
0.01552,8.34427057,0.0897591296,0.004015016450275936,0.011504983549724065
0.01563,8.66229177,0.0897557031,0.004014863179472975,0.011615136820527026
0.01575,8.93488137,0.08975193749999999,0.0040146947403848,0.011735305259615199
0.01587,9.23775871,0.0897481431,0.004014525013043562,0.011855474986956438
0.01592,9.60121151,0.0897465536,0.004014453913104467,0.011905546086895532
0.01604,9.96466431,0.08974271839999999,0.004014282360738053,0.012025717639261945
0.01616,10.32811711,0.0897388544,0.004014109520118576,0.012145890479881426
0.01633,10.72185765,0.0897333311,0.004013862457335563,0.012316137542664439
