qv,q2,ex,nu,RT,RL,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.148,0.0219,0.0,0.00098,3.04e-10,7.83e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.04e-10,7.83e-09
0.148,0.0219,0.0001,0.00108,3.29e-10,8.43e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.29e-10,8.43e-09
0.148,0.0219,0.0002,0.00118,3.55e-10,9.09e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.55e-10,9.09e-09
0.148,0.0219,0.0003,0.00128,3.84e-10,9.79e-09,0.0,0.0,0.0,0.0,0.0,0.0,3.84e-10,9.79e-09
0.148,0.0219,0.0004,0.00138,4.14e-10,1.05e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.14e-10,1.05e-08
0.148,0.0219,0.0005,0.00148,4.47e-10,1.13e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.47e-10,1.13e-08
0.148,0.0219,0.0006,0.00158,4.82e-10,1.22e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-10,1.22e-08
0.148,0.0219,0.0007,0.00168,5.2e-10,1.31e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.2e-10,1.31e-08
0.148,0.0219,0.0008,0.00178,5.61e-10,1.41e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.61e-10,1.41e-08
0.148,0.0219,0.0009,0.00188,6.05e-10,1.52e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.05e-10,1.52e-08
0.148,0.0219,0.001,0.00198,6.53e-10,1.64e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.53e-10,1.64e-08
0.148,0.0219,0.0011,0.00208,7.03e-10,1.76e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.03e-10,1.76e-08
0.148,0.0219,0.0012,0.00218,7.58e-10,1.89e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.58e-10,1.89e-08
0.148,0.0219,0.0013,0.00228,8.17e-10,2.03e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.17e-10,2.03e-08
0.148,0.0219,0.0014,0.00238,8.8e-10,2.19e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.8e-10,2.19e-08
0.148,0.0219,0.0015,0.00248,9.47e-10,2.35e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.47e-10,2.35e-08
0.148,0.0219,0.0016,0.00258,1.02e-09,2.52e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.02e-09,2.52e-08
0.148,0.0219,0.0017,0.00268,1.1e-09,2.71e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.1e-09,2.71e-08
0.148,0.0219,0.0018,0.00278,1.18e-09,2.91e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.18e-09,2.91e-08
0.148,0.0219,0.0019,0.00288,1.27e-09,3.13e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.27e-09,3.13e-08
0.148,0.0219,0.002,0.00298,1.37e-09,3.36e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.37e-09,3.36e-08
0.148,0.02189,0.0021,0.00308,1.47e-09,3.6e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.47e-09,3.6e-08
