qv,q2,ex,nu,RT,RL,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.57,0.32469,0.0,0.01453,8.58e-14,6.71e-11,0.0,0.0,0.0,0.0,0.0,0.0,8.58e-14,6.71e-11
0.57,0.32469,0.0001,0.01463,9.27e-14,7.12e-11,0.0,0.0,0.0,0.0,0.0,0.0,9.27e-14,7.12e-11
0.57,0.32468,0.0002,0.01473,1e-13,7.54e-11,0.0,0.0,0.0,0.0,0.0,0.0,1e-13,7.54e-11
0.57,0.32468,0.0003,0.01483,1.08e-13,7.99e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.08e-13,7.99e-11
0.57,0.32468,0.0004,0.01493,1.17e-13,8.47e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.17e-13,8.47e-11
0.57,0.32467,0.0005,0.01503,1.26e-13,8.97e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.26e-13,8.97e-11
0.57,0.32467,0.0006,0.01513,1.36e-13,9.5e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.36e-13,9.5e-11
0.57,0.32467,0.0007,0.01523,1.47e-13,1.01e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.47e-13,1.01e-10
0.57,0.32467,0.0008,0.01533,1.58e-13,1.07e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.58e-13,1.07e-10
0.57,0.32466,0.0009,0.01543,1.71e-13,1.13e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.71e-13,1.13e-10
0.57,0.32466,0.001,0.01553,1.84e-13,1.19e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.84e-13,1.19e-10
0.57,0.32466,0.0011,0.01563,1.98e-13,1.26e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.98e-13,1.26e-10
0.57,0.32465,0.0012,0.01573,2.14e-13,1.34e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.14e-13,1.34e-10
0.57,0.32465,0.0013,0.01583,2.3e-13,1.41e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.3e-13,1.41e-10
0.57,0.32465,0.0014,0.01593,2.48e-13,1.5e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.48e-13,1.5e-10
0.57,0.32464,0.0015,0.01603,2.67e-13,1.58e-10,0.0,0.0,0.0,0.0,0.0,0.0,2.67e-13,1.58e-10
