qv,q2,ex,nu,RT,RL,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.167,0.02789,0.0,0.00125,1.43e-10,9.42e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.43e-10,9.42e-09
0.167,0.02789,0.0001,0.00135,1.54e-10,1.01e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.54e-10,1.01e-08
0.167,0.02789,0.0002,0.00145,1.67e-10,1.09e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.67e-10,1.09e-08
0.167,0.02789,0.0003,0.00155,1.8e-10,1.18e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.8e-10,1.18e-08
0.167,0.02789,0.0004,0.00165,1.95e-10,1.27e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.95e-10,1.27e-08
0.167,0.02789,0.0005,0.00175,2.1e-10,1.36e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.1e-10,1.36e-08
0.167,0.02789,0.0006,0.00185,2.27e-10,1.47e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.27e-10,1.47e-08
0.167,0.02789,0.0007,0.00195,2.45e-10,1.58e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.45e-10,1.58e-08
0.167,0.02788,0.0008,0.00205,2.64e-10,1.7e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.64e-10,1.7e-08
0.167,0.02788,0.0009,0.00215,2.84e-10,1.83e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.84e-10,1.83e-08
0.167,0.02788,0.001,0.00225,3.07e-10,1.96e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.07e-10,1.96e-08
0.167,0.02788,0.0011,0.00235,3.31e-10,2.11e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.31e-10,2.11e-08
0.167,0.02788,0.0012,0.00245,3.56e-10,2.27e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.56e-10,2.27e-08
0.167,0.02788,0.0013,0.00255,3.84e-10,2.44e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.84e-10,2.44e-08
0.167,0.02788,0.0014,0.00265,4.13e-10,2.62e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.13e-10,2.62e-08
0.167,0.02788,0.0015,0.00275,4.45e-10,2.82e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.45e-10,2.82e-08
0.167,0.02788,0.0016,0.00285,4.79e-10,3.03e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.79e-10,3.03e-08
0.167,0.02788,0.0017,0.00295,5.16e-10,3.25e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.16e-10,3.25e-08
0.167,0.02788,0.0018,0.00305,5.55e-10,3.49e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.55e-10,3.49e-08
0.167,0.02788,0.0019,0.00315,5.97e-10,3.75e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.97e-10,3.75e-08
0.167,0.02788,0.002,0.00325,6.42e-10,4.02e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.42e-10,4.02e-08
0.167,0.02788,0.0021,0.00335,6.9e-10,4.32e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.9e-10,4.32e-08
0.167,0.02788,0.0022,0.00345,7.42e-10,4.63e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.42e-10,4.63e-08
0.167,0.02788,0.0023,0.00355,7.97e-10,4.98e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-10,4.98e-08
0.167,0.02788,0.0024,0.00365,8.57e-10,5.44e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.57e-10,5.44e-08
0.167,0.02787,0.0025,0.00375,9.2e-10,6.33e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.2e-10,6.33e-08
0.167,0.02787,0.0026,0.00385,9.88e-10,9.28e-08,0.0,0.0,0.0,0.0,0.0,0.0,9.88e-10,9.28e-08
0.167,0.02787,0.0027,0.00395,1.06e-09,2.15e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.06e-09,2.15e-07
0.167,0.02787,0.0028,0.00405,1.14e-09,7.15e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.14e-09,7.15e-07
0.167,0.02787,0.0029,0.00415,1.22e-09,2.63e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.22e-09,2.63e-06
0.167,0.02787,0.003,0.00425,1.31e-09,9.37e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-09,9.37e-06
0.167,0.02787,0.0031,0.00435,1.41e-09,3.11e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-09,3.11e-05
0.167,0.02787,0.0032,0.00445,1.51e-09,9.48e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.51e-09,9.48e-05
0.167,0.02787,0.0033,0.00455,1.62e-09,0.000266,0.0,0.0,0.0,0.0,0.0,0.0,1.62e-09,0.000266
0.167,0.02787,0.0034,0.00465,1.73e-09,0.000683,0.0,0.0,0.0,0.0,0.0,0.0,1.73e-09,0.000683
0.167,0.02787,0.0035,0.00475,1.86e-09,0.00161,0.0,0.0,0.0,0.0,0.0,0.0,1.86e-09,0.00161
0.167,0.02787,0.0036,0.00485,1.99e-09,0.00348,0.0,0.0,0.0,0.0,0.0,0.0,1.99e-09,0.00348
0.167,0.02786,0.0037,0.00495,2.13e-09,0.00689,0.0,0.0,0.0,0.0,0.0,0.0,2.13e-09,0.00689
0.167,0.02786,0.0038,0.00505,2.28e-09,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,2.28e-09,0.0125
0.167,0.02786,0.0039,0.00515,2.44e-09,0.0209,0.0,0.0,0.0,0.0,0.0,0.0,2.44e-09,0.0209
0.167,0.02786,0.004,0.00525,2.61e-09,0.0319,0.0,0.0,0.0,0.0,0.0,0.0,2.61e-09,0.0319
0.167,0.02786,0.0041,0.00535,2.79e-09,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,2.79e-09,0.0448
0.167,0.02786,0.0042,0.00545,2.99e-09,0.0575,0.0,0.0,0.0,0.0,0.0,0.0,2.99e-09,0.0575
0.167,0.02786,0.0043,0.00555,3.2e-09,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,3.2e-09,0.0678
0.167,0.02786,0.0044,0.00565,3.42e-09,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,3.42e-09,0.0733
0.167,0.02786,0.0045,0.00575,3.65e-09,0.0726,0.0,0.0,0.0,0.0,0.0,0.0,3.65e-09,0.0726
0.167,0.02785,0.0046,0.00585,3.9e-09,0.066,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-09,0.066
0.167,0.02785,0.0047,0.00595,4.17e-09,0.055,0.0,0.0,0.0,0.0,0.0,0.0,4.17e-09,0.055
0.167,0.02785,0.0048,0.00605,4.45e-09,0.042,0.0,0.0,0.0,0.0,0.0,0.0,4.45e-09,0.042
0.167,0.02785,0.0049,0.00615,4.76e-09,0.0295,0.0,0.0,0.0,0.0,0.0,0.0,4.76e-09,0.0295
0.167,0.02785,0.005,0.00625,5.08e-09,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,5.08e-09,0.0189
0.167,0.02785,0.0051,0.00635,5.42e-09,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,5.42e-09,0.0112
0.167,0.02785,0.0052,0.00645,5.78e-09,0.00603,0.0,0.0,0.0,0.0,0.0,0.0,5.78e-09,0.00603
0.167,0.02785,0.0053,0.00655,6.17e-09,0.00299,0.0,0.0,0.0,0.0,0.0,0.0,6.17e-09,0.00299
0.167,0.02784,0.0054,0.00665,6.58e-09,0.00136,0.0,0.0,0.0,0.0,0.0,0.0,6.58e-09,0.00136
0.167,0.02784,0.0055,0.00675,7.02e-09,0.000566,0.0,0.0,0.0,0.0,0.0,0.0,7.02e-09,0.000566
0.167,0.02784,0.0056,0.00685,7.48e-09,0.000216,0.0,0.0,0.0,0.0,0.0,0.0,7.48e-09,0.000216
0.167,0.02784,0.0057,0.00695,7.97e-09,7.62e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.97e-09,7.62e-05
