nu,RT,q2,nuel,ex
0.00996,0.04441977,0.3248007984,0.014528667495442802,-0.004568667495442802
0.01182,0.05552471,0.3247602876,0.014526855406476046,-0.002706855406476045
0.01344,0.09994448,0.3247193664,0.014525024959903121,-0.001085024959903121
0.01456,0.22209883,0.32468800639999995,0.014523622195455181,3.637780454481855e-05
0.01568,0.35535813,0.32465413759999995,0.01452210720985141,0.0011578927901485896
0.01667,0.49972238,0.32462211109999994,0.014520674632185853,0.0021493253678141477
0.01754,0.63298168,0.32459234839999995,0.014519343316578883,0.0030206566834211166
0.01804,0.76624098,0.3245745584,0.014518547551925543,0.0035214524480744573
0.01829,0.89950028,0.32456547589999996,0.014518141282534648,0.003771858717465352
0.01866,1.05496946,0.3245518044,0.014517529742542622,0.004142470257457377
0.01928,0.96612993,0.32452828159999997,0.014516477543959844,0.0047635224560401545
0.01953,0.82176569,0.3245185791,0.01451604354134326,0.005013956458656739
0.01954,0.68850639,0.32451818839999996,0.014516026064937971,0.005023973935062027
0.01954,0.54414214,0.32451818839999996,0.014516026064937971,0.005023973935062027
0.01966,0.38867296,0.32451348439999994,0.01451581565027078,0.005144184349729221
0.0214,0.34425319,0.32444204,0.014512619870158403,0.006887380129841596
0.02327,0.34425319,0.32435850709999997,0.01450888335924153,0.008761116640758468
0.02526,0.36646308,0.32426193239999995,0.014504563475449114,0.010755436524550887
0.02676,0.44419767,0.32418390239999995,0.014501073114802667,0.012258926885197332
0.0284,0.51514591,0.32409343999999995,0.014497026640357673,0.013902973359642329
0.02988,0.55802332,0.32400718559999997,0.014493168393999315,0.015386831606000686
0.03118,0.62742921,0.32392780759999995,0.014489617735952491,0.01669038226404751
0.03256,0.68912333,0.32383984639999996,0.01448568314270766,0.018074316857292338
0.03394,0.75852921,0.3237480764,0.01448157817799506,0.01945842182200494
0.03533,0.78937627,0.3236517911,0.014477271239356701,0.0208527287606433
0.03662,0.81251157,0.32355897559999997,0.014473119508373999,0.022146880491626
0.03749,0.89734098,0.32349449989999995,0.014470235445245304,0.0230197645547547
0.03887,0.90505275,0.32338912309999995,0.01446552183463697,0.024404478165363033
0.03991,0.98988216,0.32330719189999996,0.014461856969377506,0.025448143030622497
0.0412,1.04386452,0.32320255999999997,0.01445717667889791,0.026742823321102088
0.04224,1.1364057,0.32311578239999994,0.014453295029275547,0.027786704970724455
0.04258,1.22894688,0.32308694359999995,0.01445200504064796,0.02812799495935204
0.04397,1.20581159,0.32296663909999995,0.014446623698953862,0.02952337630104614
0.04535,1.27521747,0.3228433775,0.014441110083192517,0.030908889916807486
0.04673,1.33691159,0.3227163071,0.0144354260959634,0.0322945739040366
0.04811,1.38318218,0.32258542789999994,0.014429571737266509,0.03368042826273349
0.0495,1.47572336,0.32244975,0.014423502727875862,0.03507649727212414
0.05088,1.58368807,0.3223112256,0.014417306391667576,0.036462693608332424
0.05226,1.69165279,0.32216889239999996,0.014410939683991519,0.03784906031600848
0.05382,1.80732926,0.32200340759999996,0.014403537381883293,0.03941646261811671
0.0552,1.91529397,0.32185295999999997,0.014396807708906334,0.040803192291093665
0.05649,2.03097045,0.32170887989999997,0.014390362860630338,0.042099637139369664
0.05788,2.15435869,0.32154990559999996,0.01438325177975739,0.04349674822024261
0.05917,2.27774693,0.32139891109999996,0.014376497643391509,0.04479350235660849
0.06073,2.4165587,0.3212118671,0.014368130976510135,0.04636186902348986
0.06228,2.55537047,0.3210212016,0.014359602316279007,0.04792039768372099
0.06375,2.67875871,0.32083593749999995,0.014351315266120872,0.04939868473387913
0.06522,2.80214696,0.3206463516,0.01434283489748726,0.050877165102512736
0.06686,2.9255352,0.32042974039999994,0.014333145659911206,0.052526854340088795
0.06824,3.07205873,0.3202433024,0.014324806100021396,0.0539151938999786
0.06988,3.2108705,0.32001678559999996,0.014314673774960795,0.0555653262250392
0.07092,3.35739404,0.3198703536,0.014308123723824305,0.05661187627617569
0.07221,3.51162934,0.31968571589999994,0.014299864693170322,0.057910135306829674
0.07351,3.66586464,0.31949627989999996,0.014291391029714984,0.059218608970285025
0.07472,3.82009994,0.31931692159999997,0.014283368151950877,0.06043663184804912
0.0761,4.00518231,0.31910879,0.014274058215440283,0.06182594178455972
0.07748,4.19026467,0.3188968496,0.014264577907461917,0.06321542209253808
0.07912,4.37534703,0.3186400256,0.014253089910759844,0.06486691008924016
0.08076,4.59127645,0.31837782239999995,0.01424136129701318,0.06651863870298681
0.08232,4.80720587,0.31812341759999996,0.014229981513568522,0.06809001848643148
