qv,q2,ex,nu,RT,RL,RTQE,RLQE,RTIE,RLIE,RTE,RLE,RTNS,RLNS
0.24,0.05759,0.0,0.00258,1.35e-10,1.02e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.35e-10,1.02e-08
0.24,0.05759,0.0001,0.00268,1.46e-10,1.1e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.46e-10,1.1e-08
0.24,0.05759,0.0002,0.00278,1.58e-10,1.18e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.58e-10,1.18e-08
0.24,0.05759,0.0003,0.00288,1.7e-10,1.27e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-10,1.27e-08
0.24,0.05759,0.0004,0.00298,1.84e-10,1.36e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.84e-10,1.36e-08
0.24,0.05759,0.0005,0.00308,1.98e-10,1.46e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.98e-10,1.46e-08
0.24,0.05759,0.0006,0.00318,2.14e-10,1.57e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.14e-10,1.57e-08
0.24,0.05759,0.0007,0.00328,2.31e-10,1.68e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.31e-10,1.68e-08
0.24,0.05759,0.0008,0.00338,2.49e-10,1.81e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.49e-10,1.81e-08
0.24,0.05759,0.0009,0.00348,2.69e-10,1.94e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.69e-10,1.94e-08
0.24,0.05759,0.001,0.00358,2.9e-10,2.08e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.9e-10,2.08e-08
0.24,0.05759,0.0011,0.00368,3.12e-10,2.23e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.12e-10,2.23e-08
0.24,0.05759,0.0012,0.00378,3.36e-10,2.39e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.36e-10,2.39e-08
0.24,0.05758,0.0013,0.00388,3.62e-10,2.57e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.62e-10,2.57e-08
0.24,0.05758,0.0014,0.00398,3.9e-10,2.75e-08,0.0,0.0,0.0,0.0,0.0,0.0,3.9e-10,2.75e-08
0.24,0.05758,0.0015,0.00408,4.2e-10,2.95e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.2e-10,2.95e-08
0.24,0.05758,0.0016,0.00418,4.52e-10,3.16e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.52e-10,3.16e-08
0.24,0.05758,0.0017,0.00428,4.87e-10,3.39e-08,0.0,0.0,0.0,0.0,0.0,0.0,4.87e-10,3.39e-08
0.24,0.05758,0.0018,0.00438,5.24e-10,3.63e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.24e-10,3.63e-08
0.24,0.05758,0.0019,0.00448,5.64e-10,3.89e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.64e-10,3.89e-08
0.24,0.05758,0.002,0.00458,6.06e-10,4.17e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.06e-10,4.17e-08
0.24,0.05758,0.0021,0.00468,6.52e-10,4.47e-08,0.0,0.0,0.0,0.0,0.0,0.0,6.52e-10,4.47e-08
0.24,0.05758,0.0022,0.00478,7.01e-10,4.79e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.01e-10,4.79e-08
0.24,0.05758,0.0023,0.00488,7.53e-10,5.14e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.53e-10,5.14e-08
0.24,0.05758,0.0024,0.00498,8.09e-10,5.62e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.09e-10,5.62e-08
0.24,0.05757,0.0025,0.00508,8.69e-10,6.65e-08,0.0,0.0,0.0,0.0,0.0,0.0,8.69e-10,6.65e-08
0.24,0.05757,0.0026,0.00518,9.33e-10,1.03e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.33e-10,1.03e-07
0.24,0.05757,0.0027,0.00528,1e-09,2.56e-07,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,2.56e-07
0.24,0.05757,0.0028,0.00538,1.08e-09,8.89e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.08e-09,8.89e-07
0.24,0.05757,0.0029,0.00548,1.15e-09,3.32e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.15e-09,3.32e-06
0.24,0.05757,0.003,0.00558,1.24e-09,1.19e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.24e-09,1.19e-05
0.24,0.05757,0.0031,0.00568,1.33e-09,3.93e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.33e-09,3.93e-05
0.24,0.05757,0.0032,0.00578,1.42e-09,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,1.42e-09,0.00012
0.24,0.05757,0.0033,0.00588,1.53e-09,0.000336,0.0,0.0,0.0,0.0,0.0,0.0,1.53e-09,0.000336
0.24,0.05756,0.0034,0.00598,1.64e-09,0.000864,0.0,0.0,0.0,0.0,0.0,0.0,1.64e-09,0.000864
0.24,0.05756,0.0035,0.00608,1.75e-09,0.00204,0.0,0.0,0.0,0.0,0.0,0.0,1.75e-09,0.00204
0.24,0.05756,0.0036,0.00618,1.88e-09,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,1.88e-09,0.0044
0.24,0.05756,0.0037,0.00628,2.01e-09,0.00872,0.0,0.0,0.0,0.0,0.0,0.0,2.01e-09,0.00872
0.24,0.05756,0.0038,0.00638,2.15e-09,0.0158,0.0,0.0,0.0,0.0,0.0,0.0,2.15e-09,0.0158
